EEGNET     , leaky_relu,3.00E-04,0.1,88,0.8509
EEGNET     , relu      ,3.00E-04,0.4,262,0.8509
EEGNET     , leaky_relu,3.00E-04,0.5,243,0.8509
EEGNET     , relu      ,4.00E-04,0.3,258,0.8509
EEGNET     , leaky_relu,4.00E-04,0.6,239,0.8509
EEGNET     , relu      ,4.00E-04,0.2,258,0.8509
EEGNET     , leaky_relu,5.00E-04,0.1,134,0.8509
EEGNET     , relu      ,2.00E-04,0.3,256,0.85
EEGNET     , leaky_relu,2.00E-04,0.2,225,0.85
EEGNET     , relu      ,2.00E-04,0.3,248,0.85
EEGNET     , leaky_relu,3.00E-04,0.2,285,0.85
EEGNET     , relu      ,3.00E-04,0.5,248,0.85
EEGNET     , leaky_relu,4.00E-04,0.4,291,0.85
EEGNET     , leaky_relu,4.00E-04,0.2,229,0.85
EEGNET     , relu      ,4.00E-04,0.4,248,0.85
EEGNET     , relu      ,4.00E-04,0.5,275,0.85
EEGNET     , leaky_relu,4.00E-04,0.5,294,0.85
EEGNET     , relu      ,2.00E-04,0.1,280,0.8491
EEGNET     , leaky_relu,2.00E-04,0.1,280,0.8491
EEGNET     , relu      ,2.00E-04,0.4,291,0.8491
EEGNET     , leaky_relu,2.00E-04,0.2,252,0.8491
EEGNET     , leaky_relu,3.00E-04,0.4,273,0.8491
EEGNET     , relu      ,3.00E-04,0.3,286,0.8491
EEGNET     , relu      ,3.00E-04,0.5,241,0.8491
EEGNET     , relu      ,3.00E-04,0.4,273,0.8491
EEGNET     , relu      ,4.00E-04,0.1,280,0.8491
EEGNET     , relu      ,4.00E-04,0.5,300,0.8491
EEGNET     , leaky_relu,4.00E-04,0.2,258,0.8491
EEGNET     , leaky_relu,4.00E-04,0.3,243,0.8491
EEGNET     , relu      ,5.00E-04,0.3,245,0.8491
EEGNET     , leaky_relu,1.00E-04,0.1,268,0.8481
EEGNET     , leaky_relu,2.00E-04,0.4,261,0.8481
EEGNET     , leaky_relu,2.00E-04,0.1,150,0.8481
EEGNET     , relu      ,3.00E-04,0.3,238,0.8481
EEGNET     , leaky_relu,3.00E-04,0.2,245,0.8481
EEGNET     , leaky_relu,3.00E-04,0.5,186,0.8481
EEGNET     , leaky_relu,4.00E-04,0.5,252,0.8481
EEGNET     , relu      ,4.00E-04,0.2,173,0.8481
EEGNET     , relu      ,4.00E-04,0.1,289,0.8481
EEGNET     , relu      ,4.00E-04,0.6,293,0.8481
EEGNET     , relu      ,4.00E-04,0.3,291,0.8481
EEGNET     , relu      ,4.00E-04,0.5,258,0.8481
EEGNET     , leaky_relu,4.00E-04,0.6,299,0.8481
EEGNET     , leaky_relu,4.00E-04,0.1,201,0.8481
EEGNET     , relu      ,4.00E-04,0.2,220,0.8481
EEGNET     , leaky_relu,5.00E-04,0.1,241,0.8481
EEGNET     , leaky_relu,1.00E-04,0.1,270,0.8472
EEGNET     , leaky_relu,2.00E-04,0.3,298,0.8472
EEGNET     , relu      ,2.00E-04,0.1,251,0.8472
EEGNET     , relu      ,2.00E-04,0.3,267,0.8472
EEGNET     , leaky_relu,2.00E-04,0.1,216,0.8472
EEGNET     , leaky_relu,3.00E-04,0.5,287,0.8472
EEGNET     , relu      ,3.00E-04,0.2,180,0.8472
EEGNET     , leaky_relu,3.00E-04,0.5,283,0.8472
EEGNET     , leaky_relu,3.00E-04,0.4,299,0.8472
EEGNET     , relu      ,3.00E-04,0.6,285,0.8472
EEGNET     , leaky_relu,3.00E-04,0.3,213,0.8472
EEGNET     , relu      ,3.00E-04,0.4,272,0.8472
EEGNET     , relu      ,4.00E-04,0.5,236,0.8472
EEGNET     , leaky_relu,4.00E-04,0.5,287,0.8472
EEGNET     , relu      ,4.00E-04,0.1,166,0.8472
EEGNET     , leaky_relu,4.00E-04,0.6,295,0.8472
EEGNET     , relu      ,4.00E-04,0.5,275,0.8472
EEGNET     , leaky_relu,4.00E-04,0.2,188,0.8472
EEGNET     , relu      ,1.00E-04,0.2,291,0.8463
EEGNET     , relu      ,2.00E-04,0.1,255,0.8463
EEGNET     , leaky_relu,2.00E-04,0.1,293,0.8463
EEGNET     , relu      ,2.00E-04,0.4,253,0.8463
EEGNET     , relu      ,3.00E-04,0.2,243,0.8463
EEGNET     , relu      ,4.00E-04,0.6,288,0.8463
EEGNET     , relu      ,4.00E-04,0.3,150,0.8463
EEGNET     , leaky_relu,4.00E-04,0.4,175,0.8463
EEGNET     , leaky_relu,4.00E-04,0.4,246,0.8463
EEGNET     , leaky_relu,4.00E-04,0.5,262,0.8463
EEGNET     , elu       ,4.00E-04,0.2,158,0.8463
EEGNET     , relu      ,4.00E-04,0.3,252,0.8463
